StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Set a Value Now,Q_DataPolicyViolations,Q_AmbiguousTextPresent,Q_AmbiguousTextQuestions,Q_StraightliningCount,Q_StraightliningPercentage,Q_StraightliningQuestions,Q_UnansweredPercentage,Q_UnansweredQuestions
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,What is your Prolific ID?,Are you aware that the fake images in this study are AI generated?,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Please give a detailed justification for your responses,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Please give a detailed justification for your responses,Set a Value Now,Q_DataPolicyViolations,Q_AmbiguousTextPresent,Q_AmbiguousTextQuestions,Q_StraightliningCount,Q_StraightliningPercentage,Q_StraightliningQuestions,Q_UnansweredPercentage,Q_UnansweredQuestions
"{""ImportId"":""startDate"",""timeZone"":""Australia/Brisbane""}","{""ImportId"":""endDate"",""timeZone"":""Australia/Brisbane""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Australia/Brisbane""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID75""}","{""ImportId"":""QID1""}","{""ImportId"":""QID12""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID62_TEXT""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID63_TEXT""}","{""ImportId"":""Set a Value Now""}","{""ImportId"":""Q_DataPolicyViolations""}","{""ImportId"":""Q_AmbiguousTextPresent""}","{""ImportId"":""Q_AmbiguousTextQuestions""}","{""ImportId"":""Q_StraightliningCount""}","{""ImportId"":""Q_StraightliningPercentage""}","{""ImportId"":""Q_StraightliningQuestions""}","{""ImportId"":""Q_UnansweredPercentage""}","{""ImportId"":""Q_UnansweredQuestions""}"
24/08/2023 17:06,24/08/2023 17:11,0,147.12.206.62,100,338,1,24/08/2023 17:11,R_1hQHOWnL6Qax3Q4,,,,,51.5128,-0.0638,anonymous,EN,1,6104991987eb2b5a5dd39ba5,1,2,1,1,1,1,2,2,2,2,1,I was looking at things that are slightly symmetrical and a bit off in a sense.,2,1,2,1,2,2,1,2,2,2,The same reasoning applied. Something off and also the slower loads,,,1,QID60,0,0,,0,
24/08/2023 17:06,24/08/2023 17:13,0,77.69.121.105,100,388,1,24/08/2023 17:13,R_3qqheLbwi7516i0,,,,,37.9842,23.7353,anonymous,EN,1,5887951f5b971900013a03c0,1,2,1,1,1,2,2,2,2,2,2,"Both faces that I see are believable to be the real ones, so even if I'm 100% wrong, I won't be surprised. I tried to pick as fake the face that seemed too perfect, without too much emotion or small details/inaccuracies.",2,2,2,1,2,2,2,2,2,2,"Again, I tried to pick as fake the person which was too perfect, no emotion, great shot etc. Also, maybe the AI ears are a bit flawed? But I might be mistaken",,,1,QID60,0,0,,0,
24/08/2023 17:07,24/08/2023 17:13,0,93.150.203.203,100,359,1,24/08/2023 17:13,R_1IaD3CmhLxax8NP,,,,,40.867,14.2385,anonymous,EN,0.899999976,5aa18dc7dbdb470001ef2d72,1,2,2,1,2,2,1,2,1,1,2,"the imagines that I selected as ""fake"" seem less natural, sometimes the eyes were ""empty"", in other cases the face seem a little bit unnatural",2,2,2,1,1,2,2,2,1,1,"as written before for women, but I add also that some faces seem to be not shapely",,,1,QID60,0,0,,0,
24/08/2023 17:10,24/08/2023 17:13,0,109.146.35.89,100,171,1,24/08/2023 17:13,R_12r3xjEZzPZN7Tx,,,,,51.3743,-0.3979,anonymous,EN,1,5717864c94d4fc001297198d,1,1,1,2,1,1,2,2,1,2,2,"Something feels off, they dont look like a real person.",2,1,1,1,1,2,2,1,2,1,"I look at skin tone and lines, and see which doesnt look right. ",,,1,QID60,0,0,,0,
24/08/2023 17:09,24/08/2023 17:14,0,188.29.56.72,100,277,1,24/08/2023 17:14,R_3KMGNVYJNaxEmbr,,,,,51.5074,-0.1196,anonymous,EN,0.899999976,5e95a0178e68700009b42b78,1,2,1,1,1,2,2,2,1,1,2,"some had plain backgrounds, but it was really hard, couldn't really tell!",1,1,1,1,1,1,2,1,1,1,"some had shaddows, so these must be the real ones or sun in their faces. very difficult",,,1,QID60,0,0,,0,
24/08/2023 17:12,24/08/2023 17:16,0,94.3.95.239,100,233,1,24/08/2023 17:16,R_2sawiNns6x8wsrE,,,,,51.2887,-0.7957,anonymous,EN,1,5c8b65c3e65fc600177b4a1a,1,2,1,2,2,1,2,2,1,2,1,"Difficult, tended to go by the hairline or exaggerated expression",2,2,1,2,1,2,2,2,2,1,"guesswork I am afraid, again very difficult",,,1,QID60,0,0,,0,
24/08/2023 17:15,24/08/2023 17:17,0,20.123.50.84,100,117,1,24/08/2023 17:17,R_OwdpYqMd6QiCy6l,,,,,53.3379,-6.2591,anonymous,EN,0.899999976,62850a0870919ee287a7a338,1,1,1,1,2,2,2,2,1,1,1,The real photos look more natural,2,1,2,1,2,2,2,1,2,2,Im not sure- it was just on impulse,,,1,QID60,0,0,,0,
24/08/2023 17:13,24/08/2023 17:17,0,62.31.236.74,100,258,1,24/08/2023 17:17,R_2EgzUW0qzl4hc81,,,,,51.509,-0.1882,anonymous,EN,1,63178648316b49dec1c17fea,1,1,1,1,2,2,2,1,1,1,1,I considered the backgrounds and general overall look of the faces. This was so much harder than I anticipated!,2,1,1,1,2,1,1,1,2,1,I tried to see which face was the most believable.,,,1,QID60,0,0,,0,
24/08/2023 17:13,24/08/2023 17:18,0,2.100.113.200,100,309,1,24/08/2023 17:18,R_12FhXKsB8AcFT8g,,,,,51.4809,0.0832,anonymous,EN,1,59ba6e9162b30d0001b7acab,1,1,1,1,2,2,2,1,1,1,1,a bit unsure but in some images it just felt like picture was too perfect or just missed something human,2,2,2,1,1,1,1,1,1,2,felt like background was added just to feel more real but hard to tell which wasn't real,,,1,QID60,0,0,,0,
24/08/2023 17:14,24/08/2023 17:18,0,86.15.160.224,100,197,1,24/08/2023 17:18,R_ZJoqP3c4nw5Azx7,,,,,50.8612,-0.1194,anonymous,EN,1,58545249cceb5b0001e4875a,1,1,2,1,1,2,2,2,2,2,1,I just chose the faces that looked slightly faker maybe,2,1,2,1,2,2,1,2,1,2,I chose the images that looked faker,,,1,QID60,0,0,,0,
24/08/2023 17:10,24/08/2023 17:18,0,79.130.221.193,100,503,1,24/08/2023 17:18,R_12F4s7clYRK0QNo,,,,,35.5174,24.0169,anonymous,EN,1,5f4f3eba2f0d6c195a3cc262,2,1,1,1,1,2,2,1,1,1,2,"I noticed people's smiles, the more realistic the more human. As well as with the eyes. In addition, I saw wrinkles and imperfections on the faces, where there were more I considered them real!",2,1,2,1,1,2,2,2,1,1,"As in the female pictures, I observed the smiles of the people, the more realistic the more human. As well as with the eyes. In addition, I saw wrinkles and imperfections on the faces, where there were more I considered them real. I had more trouble with men!",,,1,QID60,0,0,,0,
24/08/2023 17:15,24/08/2023 17:18,0,167.179.177.209,100,186,1,24/08/2023 17:18,R_vTuHxXIjtgz8AWR,,,,,-27.4437,153.0244,anonymous,EN,0.899999976,5cb10153de2e600017b6c02d,1,2,1,2,2,1,2,2,2,1,1,No real idea.  All of them could be real.,2,1,2,1,2,2,2,1,2,2,Still the same - no idea - they could all be real or AI,,,1,QID60,0,0,,0,
24/08/2023 17:15,24/08/2023 17:18,0,58.109.40.42,100,218,1,24/08/2023 17:18,R_3n0H70Xu9DUwLA8,,,,,-42.8836,147.4062,anonymous,EN,0.899999976,5e3e6447ce52250ce6986e8d,1,1,2,1,2,2,2,1,2,2,2,"I tried to pick the ones I found to be less genuine in the sense that they didn't look like real people. I do acknowledge that they all were very convincing and if I was told that they were all real, I wouldn't be surprised",2,2,2,1,2,1,2,1,1,1,I picked the images with the least amount of depth to the pictures,,,0,,0,0,,0,
24/08/2023 17:12,24/08/2023 17:19,0,149.143.56.26,100,403,1,24/08/2023 17:19,R_2eUxa9eCnEDoHyt,,,,,52.0746,4.6603,anonymous,EN,0.899999976,5fdb2a32414cb63975e0d9c7,1,1,1,1,2,2,1,2,1,2,2,"I had a hard time judging, I was looking for obvious flaws that are often in these images but couldn't really find them. I eventually went with gut feeling... ",2,1,2,1,1,2,2,2,1,2,Went with the assumption that the fotos with very situation specific lighting were real ,,,1,QID60,0,0,,0,
24/08/2023 17:16,24/08/2023 17:19,0,151.0.253.165,100,167,1,24/08/2023 17:19,R_23fSPbGCsCGKpjM,,,,,43.1479,12.1097,anonymous,EN,1,5fdde74bfdb6e64c26da591a,1,2,2,2,1,2,1,2,2,2,2,I selected faces based on the eyes and face proportions,2,2,2,1,2,2,2,1,2,2,I selected faces based on the eyes and face proportions,,,1,QID60,0,0,,0,
24/08/2023 17:13,24/08/2023 17:19,0,81.204.4.49,100,356,1,24/08/2023 17:19,R_2urGJPvnqIsY5LY,,,,,52.2356,5.1103,anonymous,EN,1,5f3151777dbdaa6148ce7f97,1,2,2,1,1,1,1,2,1,1,1,"It is very difficult to see if the picture is fake or not. I tried to choose the most 'perfect' one's, because pictures taken by a photographer would never be completely perfect.",1,1,2,1,2,2,2,1,1,2,It becomes more and more difficult. I now choose by 'feeling' ,,,1,QID60,0,0,,0,
24/08/2023 17:15,24/08/2023 17:19,0,82.132.217.56,100,267,1,24/08/2023 17:19,R_1Kpv3FYGuvY7dap,,,,,51.4964,-0.1224,anonymous,EN,1,5ee13172646ecb12b9368547,1,1,2,1,2,2,1,2,2,2,2,"Just a guess really, mostly went how natural the mouth and lips looked",2,2,2,1,2,1,1,1,2,1,Tryimg to guess from their eyes as to which look the most natural ,,,1,QID60,0,0,,0,
24/08/2023 17:16,24/08/2023 17:20,0,77.188.107.83,100,225,1,24/08/2023 17:20,R_0SLSMsed56qvgiZ,,,,,52.5321,13.4012,anonymous,EN,1,6106b205f9c074910b3f227f,1,2,2,1,2,2,2,1,2,2,2,it was very hard to identify but I believe it was something to do with the light and the resemblance to existing Ai photos I already saw,2,1,2,2,1,2,2,2,1,2,Not sure here. Maybe some small details next to the eyes,,,1,QID60,0,0,,0,
24/08/2023 17:15,24/08/2023 17:20,0,92.16.87.196,100,303,1,24/08/2023 17:20,R_1N4EUyWiwqz3enK,,,,,51.4402,-0.0259,anonymous,EN,1,5a0a057c80acd80001047392,1,2,2,2,1,2,2,2,1,1,1,i looked for the image with the least imperfections. ,2,2,2,1,1,2,1,2,1,1,i looked for the face which didnt match the background,,,1,QID60,0,0,,0,
24/08/2023 17:17,24/08/2023 17:20,0,82.28.118.98,100,223,1,24/08/2023 17:20,R_1E0apC872XR1oqa,,,,,50.368,-4.1329,anonymous,EN,1,5efae44f5a33e693df274fea,1,1,2,1,2,1,2,2,2,1,2,just gut reaction - i really couldnt tell!,1,2,1,1,1,1,2,2,1,1,"i generally went for the better looking, more polished photos",,,1,QID60,0,0,,0,
24/08/2023 17:15,24/08/2023 17:21,0,86.16.203.93,100,368,1,24/08/2023 17:21,R_1Li2gzKA6RuVos3,,,,,50.4788,-3.5446,anonymous,EN,1,6447b251e7f26be12dcb9b8d,1,2,1,2,2,2,2,1,1,1,1,"it was quiet interesting this study, all the pictures looks so realistic, it was hard to make a decision",1,1,2,1,2,1,2,1,1,1,"it was very interesting, but a little bit difficult to decide which if fake or not",,,1,QID60,0,0,,0,
24/08/2023 17:17,24/08/2023 17:21,0,109.152.26.67,100,213,1,24/08/2023 17:21,R_3fPQcAcq7Mkqmy4,,,,,51.5752,0.1875,anonymous,EN,1,5e42c26bcea1861491e28258,1,1,2,2,2,2,2,1,2,2,2,"Really and truly just guessing as all faces where very good ,so really no way of telling",1,2,2,1,1,2,2,2,1,1,Again no real of telling so only guessing,,,1,QID60,0,0,,0,
24/08/2023 17:17,24/08/2023 17:21,0,79.103.171.85,100,275,1,24/08/2023 17:21,R_1MPRwCojLW9JAN0,,,,,40.6439,22.9358,anonymous,EN,1,607458a3355910967d2a8b74,1,2,2,1,2,1,1,2,1,2,2,"I tried to find ""unnatural"" characteristics or blurry spaces in the photos.",2,1,2,1,1,1,2,1,1,1,"I tried to find ""unnatural"" characteristics, or eyes that look a bit weird.",,,1,QID60,0,0,,0,
24/08/2023 17:17,24/08/2023 17:21,0,133.9.137.186,100,277,1,24/08/2023 17:21,R_3rSsdUTqhLPd20Z,,,,,35.6837,139.6805,anonymous,EN,1,5bbd49d31860e20001088150,1,2,2,1,2,1,2,1,1,2,2,"It is difficult to give a general reason for all of them as there were different reasons for different images. At times, I felt that the AI generated faces seemed too symmetrical. At other times, it seemed like the faces were made up of parts which didn't seem to fit together well, i.e. not from the same face",1,2,2,1,2,2,2,2,1,2,"Some of the faces, the depth of vision seemed off. For example, the eyes were set correctly into the face or the shadows were off",,,1,QID60,0,0,,0,
24/08/2023 17:18,24/08/2023 17:21,0,163.116.178.27,100,207,1,24/08/2023 17:21,R_3kMPWAtr0mdHfOM,,,,,50.1188,8.6843,anonymous,EN,1,56a0e989b956b300060a43a1,1,2,1,1,1,2,1,2,2,1,2,I was trying to understand which photo was looking more unnatural.,1,1,2,1,2,2,2,1,1,1,I was looking to see which photo seemed more unnatural.,,,1,QID60,0,0,,0,
24/08/2023 17:19,24/08/2023 17:22,0,51.191.129.201,100,130,1,24/08/2023 17:22,R_3Gwk2SJWouckzYG,,,,,51.7683,0.1456,anonymous,EN,1,629751c7e478b159d620c917,1,2,1,2,2,1,2,2,2,2,2,couldnt tell them apart so i guessed,2,1,2,1,1,2,2,1,1,2,i guessed the ones with the blurred backgrounds,,,1,QID60,0,0,,0,
24/08/2023 17:16,24/08/2023 17:22,0,86.153.168.114,100,306,1,24/08/2023 17:22,R_22Q6M4flVdWuBgN,,,,,51.8686,-2.2446,anonymous,EN,1,59922fa30675b100014daed4,1,1,2,2,2,1,2,1,1,1,1,"I thought the ones that were too perfect ie. no freckles, wrinkles etc., were the AI ones.",2,2,2,1,1,2,2,1,2,2,I tended to think that the older faces were real (not AI).,,,1,QID60,0,0,,0,
24/08/2023 17:18,24/08/2023 17:22,0,178.190.87.5,100,215,1,24/08/2023 17:22,R_1N2GwCXaDNFSQbg,,,,,48.217,16.3944,anonymous,EN,0.899999976,610062b1764c878b6cdeb293,1,2,1,1,2,2,1,1,2,2,2,there is always something a little off about the AI generated photos. Like some not proportional characteristics or skin that is too smooth,2,1,2,1,1,2,2,1,1,1,"the AI images sometimes looked drawn or painted, you could see some resemblance to a painting or a computer sketch rather than a photo",,,1,QID60,0,0,,0,
24/08/2023 17:18,24/08/2023 17:22,0,87.7.231.57,100,226,1,24/08/2023 17:22,R_1kMocQV2sZre3q1,,,,,45.4722,9.1922,anonymous,EN,1,5fe356d8116bbff69c929293,1,2,1,1,2,2,2,1,1,2,2,"I've already seen a fairly high number of AI generated in the past, and I just ""felt"" the fake ones.",2,1,1,2,1,1,2,1,1,1,"Again, I just ""felt"" the fake ones, that are in my opinion generally more 'polished'",,,1,QID60,0,0,,0,
24/08/2023 17:17,24/08/2023 17:22,0,89.190.187.29,100,300,1,24/08/2023 17:22,R_240pCt4TnbBoasS,,,,,45.4871,11.1239,anonymous,EN,0.800000012,6110fc8b21c650ebcdc045d2,1,2,1,1,1,1,2,2,2,2,2,It was actually very hard to choose. I've tried mostly to look at the eyes and at the gaze of the person. Sometimes the sharpness too,2,2,2,1,2,2,2,1,1,2,Shadows helped me this time. Also something might seem not natural in certain pictures,,,1,QID60,0,0,,0,
24/08/2023 17:17,24/08/2023 17:22,0,217.27.82.5,100,275,1,24/08/2023 17:22,R_3fYTClBn19fYqS7,,,,,41.8904,12.5126,anonymous,EN,1,5ccbf31adde97100138a0eb4,1,1,1,1,2,1,1,1,1,1,2,I believe the AI ​​is not able to create faces with small imperfections,2,2,1,1,1,1,2,1,1,2,I believe the AI ​​is not able to create faces with small imperfections,,,1,QID60,0,0,,0,
24/08/2023 17:18,24/08/2023 17:22,0,143.58.130.140,100,254,1,24/08/2023 17:22,R_2UXVM4vR77mFThb,,,,,51.4957,-0.1772,anonymous,EN,0.899999976,5e62c473211a8305ca6411d2,1,1,1,1,1,1,1,1,1,1,1,"When choosing I generally went for images that looked like they had been photoshopped, or ladies with perfect skin",2,1,2,1,1,1,2,1,1,2,I picked pictures that looked like they had been retouched,,,0,,0,0,,0,
24/08/2023 17:18,24/08/2023 17:23,0,85.75.213.237,100,298,1,24/08/2023 17:23,R_3LaU5GujVjqEopm,,,,,35.5174,24.0169,anonymous,EN,1,5d88be3e3b1224001acc666b,1,1,1,1,2,2,1,2,1,1,2,"they don't look so natural, less expression and some of them looked too symmetrical",1,1,1,1,2,1,1,2,1,1,"is actually very hard to select the ""fake"" one, the look realistic and i think they are",,,1,QID60,0,0,,0,
24/08/2023 17:18,24/08/2023 17:23,0,104.157.59.248,100,312,1,24/08/2023 17:23,R_2Cpt3ILm3KhCG5i,,,,,53.632,-113.6363,anonymous,EN,0.899999976,5bc0cacb228a7600013cf77e,1,2,2,1,1,2,1,2,2,2,2,It is hard to describe. Usually I went with my gut feeling upon seeing both images. Sometimes something seemed off about the chin or eyes of the person. Other times there was no obvious sign which was the fake picture,1,2,2,2,1,2,2,2,1,2,"It is hard to tell on most of them, so I went with my first impressions",,,1,QID60,0,0,,0,
24/08/2023 17:17,24/08/2023 17:23,0,87.69.32.68,100,418,1,24/08/2023 17:23,R_3nOWafFhw1tsaRe,,,,,32.7966,35.1668,anonymous,EN,1,5ec25b2bcad3b8022c14846d,1,1,2,2,2,2,2,1,1,2,2,instinct. basically I just used my instincts to determine if the image was real or AI generated  ,2,2,2,1,2,2,2,2,1,1,I judged the image by instinct. If something felt off about the image I assumed it was AI generated  ,,,1,QID60,0,0,,0,
24/08/2023 17:14,24/08/2023 17:24,0,85.75.49.150,100,568,1,24/08/2023 17:24,R_3EMXRiy6GCc4XY4,,,,,37.9433,23.7098,anonymous,EN,1,5d8c9182bc22d700191aef2b,1,2,2,1,1,1,1,1,2,1,2,It is very difficult to understand which photos are AI generated. I went more by instict and trying to choose those that seemed a little more made up.,2,1,2,1,2,1,2,1,1,1,As before it is very difficut to understand which photos are real and which AI generated. I tried to selected these photos that were too perfect or where too plausible.,,,1,QID60,0,0,,0,
24/08/2023 17:19,24/08/2023 17:24,0,62.74.25.131,100,301,1,24/08/2023 17:24,R_2agcKI7lrvMueBy,,,,,37.9842,23.7353,anonymous,EN,1,5ed4fe1834f26a0398d1202d,1,2,2,1,2,2,2,1,2,2,2,it is really difficult to tell if it is ai or not.. sometimes the eyes look strange or the skin is glowing a lot. But in general o=in most cases i am not sure,1,2,2,2,1,2,2,2,1,1,"the light in some pictures looks like studio lighting and others more natural ,or burnt in some cases . When the light is natural i believe they are real pictures",,,1,QID60,0,0,,0,
24/08/2023 17:15,24/08/2023 17:24,0,85.255.236.221,100,509,1,24/08/2023 17:24,R_RfecKMXXMhu9MEp,,,,,51.4964,-0.1224,anonymous,EN,1,6398cbd807a6ad15411601a3,1,2,1,2,2,2,1,2,2,1,2,I found it difficult to spot the AI images but I went with my first impression of the image then if not obvious to me then I looked for features I thought were not quite right. Very difficult to choose,2,2,1,2,1,2,1,2,1,2,Again very difficult to choose AI image. I went with my first impression then looked for any features that I thought were not quite correct. Very difficult to choose ,,,1,QID60,0,0,,0,
24/08/2023 17:17,24/08/2023 17:24,0,151.224.78.142,100,407,1,24/08/2023 17:24,R_3G3bT7aeOuIfccb,,,,,52.2851,-1.511,anonymous,EN,1,5f5c9cd537f71148d341a0f2,1,2,1,1,2,2,1,2,1,1,1,they just look more polished and tidy,1,2,1,1,1,2,2,1,1,1,They look moree polished and tidy,,,1,QID60,0,0,,0,
24/08/2023 17:19,24/08/2023 17:24,0,109.178.182.122,100,340,1,24/08/2023 17:24,R_CmK5LkOLW2cGKU9,,,,,37.9667,23.7167,anonymous,EN,1,5ed01428f407c70d93c4b38d,1,1,1,1,2,2,1,2,2,2,2,most of the time it wasn't clear. beauty was not my criteria for sure. there were some pictures where analogies didn't seem that naturally put together,2,2,1,1,1,1,2,2,2,2,"same as before, even though now it was even less clear. characteristics at times didn't seem naturally put together in a face",,,1,QID60,0,0,,0,
24/08/2023 17:17,24/08/2023 17:24,0,87.80.148.129,100,415,1,24/08/2023 17:24,R_2ONZbDp0rP9oY4r,,,,,51.5564,0.0714,anonymous,EN,1,60c9ab402f1c532d26288def,1,1,1,1,2,1,2,2,1,2,2,went for the ones that looked more rounded or fake,2,2,2,1,1,2,2,2,1,2,looking got extra smoothness or roundness,,,1,QID60,0,0,,0,
24/08/2023 17:17,24/08/2023 17:25,0,96.51.129.216,100,527,1,24/08/2023 17:25,R_2CxraTmhfk66vV1,,,,,51.0605,-114.1102,anonymous,EN,1,5f8e7920ad6b0d2568a61628,1,1,2,1,1,1,2,2,1,2,2,There were certain features that stood out to me that seemed off in some pictures that made me feel as though they were AI generated. Lighting was one factor that made me think that they were AI generated.,2,2,2,1,2,2,2,2,1,1,The lighting around the eyes. Though I am not sure.,,,1,QID60,0,0,,0,
