StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Set a Value Now,Q_DataPolicyViolations
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,What Is your Prolific ID?,Are you aware that the fake images in this study are AI generated?,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Please give a detailed justification for your responses,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Select the fake face from the images,Please give a detailed justification for your responses,Set a Value Now,Q_DataPolicyViolations
"{""ImportId"":""startDate"",""timeZone"":""Australia/Brisbane""}","{""ImportId"":""endDate"",""timeZone"":""Australia/Brisbane""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Australia/Brisbane""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID74""}","{""ImportId"":""QID1""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID62_TEXT""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID61_TEXT""}","{""ImportId"":""Set a Value Now""}","{""ImportId"":""Q_DataPolicyViolations""}"
24/08/2023 17:45,24/08/2023 17:50,0,91.109.170.106,100,320,1,24/08/2023 17:50,R_plLlcEv3cgEYP6x,,,,,45.1417,7.7681,anonymous,EN,1,60e099244c0d9d0e106d9459,1,2,2,2,1,1,2,1,2,1,1,"the photos I have selected seem more fake to me, especially the looks and facial expressions",1,2,2,2,2,1,1,2,2,2,"the photos I selected look more fake to me, especially the facial expressions and skin",,
24/08/2023 17:45,24/08/2023 17:51,0,94.70.248.29,100,322,1,24/08/2023 17:51,R_aW8I3K2m4t3gfC1,,,,,37.9842,23.7353,anonymous,EN,0.899999976,5d596938a0c0940001a47291,1,2,2,2,1,1,2,1,2,2,1,"The ones i chose seemed too ""set""",1,2,1,2,2,2,2,1,2,2,Seemed faker in the hair and eyes,,
24/08/2023 17:48,24/08/2023 17:52,0,93.41.60.45,100,252,1,24/08/2023 17:52,R_2VszStOFZlddOIq,,,,,45.4096,11.8947,anonymous,EN,1,5e820a415b6ebc01e6cd81a8,1,1,1,2,1,1,1,2,1,1,1,I choose the ones that looked less real to me,1,1,1,1,1,1,2,1,2,2,"Same as before, I also looked at the shadows this time",,
24/08/2023 17:49,24/08/2023 17:53,0,93.40.241.77,100,283,1,24/08/2023 17:53,R_1LOSwHBrKOV1V2M,,,,,45.4317,10.9859,anonymous,EN,1,5ede13094e77400127b0d8ac,1,2,1,1,1,1,1,2,1,1,1,"Istinctual first choice, it was too difficult to accurately predict, It felt more like guessing than a motivated decision",1,2,2,2,2,1,1,1,2,2,"looking for micro expressions/differences in pose, but as stated before it feels more like guessing",,
24/08/2023 17:51,24/08/2023 17:54,0,90.199.75.100,100,196,1,24/08/2023 17:54,R_1o7LiJif8XwbPFR,,,,,52.9875,-2.1803,anonymous,EN,1,5b09c184e9270900013b830b,1,2,2,2,1,1,2,2,2,1,1,faces are symmetrical when made with ai ,1,2,1,2,1,1,1,1,2,1,symmetrical faces when using ai ,,
24/08/2023 17:46,24/08/2023 17:55,0,194.219.249.239,100,525,1,24/08/2023 17:55,R_Q65VXnHy0bVUsDL,,,,,40.6439,22.9358,anonymous,EN,0.800000012,5ab4e1b861533800011c745e,1,1,2,1,1,1,2,2,1,1,1,i just went with what felt right,2,1,2,1,2,1,1,2,1,2,"honestly they all look real,  I just picked them at random",,
24/08/2023 17:51,24/08/2023 17:55,0,93.144.152.4,100,219,1,24/08/2023 17:55,R_3M3ytv20SbJLz9G,,,,,45.4722,9.1922,anonymous,EN,1,60c318842271afb8f68dc77c,1,1,1,2,1,1,1,2,1,1,1,"Images that I think are fakes always have something odd (however subtly), such as an overly fixed gaze or slightly unnaturally marked featur",1,1,1,2,1,2,1,1,2,1,"it's really hard to say, but in this case I would say that the light in the photos was always the discriminating factor ",,
24/08/2023 17:52,24/08/2023 17:55,0,151.225.128.12,100,182,1,24/08/2023 17:55,R_3ktXle1JDdRgdRZ,,,,,50.7749,-0.711,anonymous,EN,1,613b5421853605b5f9a5db78,1,1,1,1,1,1,1,2,2,1,2,It is hard to give a detailed response. I just chose the face that looked the least realistic to me,1,1,1,1,1,1,1,1,2,1,This was very difficult as every one looked incredibly real!,,
